sid	Smiles
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
92093123	CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31
103163765	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
103163765	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
103163782	CN1CCC[C@H]1C2=CN=CC=C2
103163782	CN1CCC[C@H]1C2=CN=CC=C2
103163813	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
103163813	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
103163840	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
103163840	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
103163858	CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C
103163858	CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C
103163870	C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3
103163870	C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3
103163873	CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
103163873	CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
103163904	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
103163904	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
103163909	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
103163909	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
