	Standard Type	Standard Value	Smiles	pKi
608	Ki	620.0	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C	6.2076
609	Ki	130.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)OC)N(C)C	6.8861
610	Ki	17.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)Cl	7.7696
616	Ki	33.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)C#N)S(=O)(=O)C3=CC=CC=C3	7.4815
617	Ki	370.0	CC(C)(C)OC(=O)N1C=C(C2=C1C=CC(=C2)O)CCN(C)C	6.4318
618	Ki	11.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3Cl	7.9586
619	Ki	3.0	CN(C)CCC1=C2C=C(N(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3)C(=O)C4=CC=CC=C4	8.5229
620	Ki	7.2	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)O)N(C)C	8.1427
634	Ki	180.0	C1=CC=C2C(=C1)C(=CN2)CCN	6.7447
636	Ki	185.0	CCCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C	6.7328
641	Ki	130.0	CC(C)N1C=C(C2=C1C=CC(=C2)OC)CCN(C)C	6.8861
642	Ki	240.0	CCN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C	6.6198
643	Ki	510.0	CN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C	6.2924
671	Ki	1030.0	CN(C)CCC1=C2CCCCN2C3=C1C=C(C=C3)OC	5.9872
672	Ki	200.0	CCCN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C	6.699
677	Ki	88.0	COC1=CC2=C(C=C1)NC=C2CCN	7.0555
702	Ki	300.0	CC1=C(C2=CC=CC=C2N1)CCN(C)C	6.5229
763	Ki	6309.57	CC1CCN(CC1)CC[C@H]2CCCN2S(=O)(=O)C3=CC=CC(=C3)O	5.2
764	Ki	3162.28	CC1CCN(CC1)CC[C@H]2CCCN2S(=O)(=O)C3=CC(=CC=C3)Br	5.5
766	Ki	524.81	C1CC2=C3C(=CC=C2)NC(=O)C3(C1)CCCCN4CCC(=CC4)C5=CC=CC=C5	6.28
791	Ki	3.162	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=C(C(=CC(=C3F)Br)F)Br)OC	8.5
792	Ki	10.0	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)OC	8.0
793	Ki	2.512	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)I)OC	8.6
798	Ki	1.995	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC(=CC(=C3)Cl)Cl)OC	8.7001
799	Ki	1.0	CC1=C(C=C(C=C1)I)S(=O)(=O)NC2=CC(=C(C=C2)OC)N3CCN(CC3)C	9.0
800	Ki	0.7943	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC(=CC=C3)I)OC	9.1
801	Ki	63.1	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC(=C3)C#N)OC	7.2
802	Ki	1.259	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4.Cl	8.9
803	Ki	1.259	CC1=C(C2=C(S1)C=CC(=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C	8.9
804	Ki	79.43	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-])OC	7.1
811	Ki	794.33	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CN(C=N3)C)OC	6.1
812	Ki	0.7943	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC4=C(C=C3)C(=CC=C4)Cl)OC	9.1
821	Ki	9.4	CC1=CC=C(C=C1)S(=O)(=O)N2C3=C(C(CCC3)CN(C)C)C4=C2C=CC(=C4)OC	8.0269
822	Ki	2.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)C=CC(=C3)OC	8.699
823	Ki	5.1	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC5=CC=CC=C5C=C4)C=CC(=C3)OC	8.2924
824	Ki	29.0	COC1=CC2=C(C=C1)N(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)N	7.5376
825	Ki	49.0	C1=CC=C2C(=C1)C3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)N.Cl	7.3098
826	Ki	64.0	CN(C)CC1CCCC2=C1C3=CC=CC=C3N2CC4=CC=CC=C4	7.1938
828	Ki	5.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)Cl)C=CC(=C3)OC	8.301
829	Ki	0.3	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=C(C=CC(=C4)OC)OC)C=CC(=C3)OC	9.5229
830	Ki	2.4	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)I)C=CC(=C3)OC	8.6198
831	Ki	47.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)OC)C=CC(=C3)OC	7.3279
832	Ki	6000.0	COC1=CC2=C(C=C1)N(C3=C2CCCC3)C(=O)C4=CC=C(C=C4)N	5.2218
833	Ki	300.0	COC1=CC2=C(C=C1)N(C3=C2C(CCC3)CN)CC4=CC=CC=C4	6.5229
839	Ki	6000.0	COC1=CC2=C(C=C1)N(C3=C2CCCC3)CC4=CC=C(C=C4)N	5.2218
840	Ki	14.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC5=CC=CC=C54)C=CC(=C3)OC	7.8539
841	Ki	7.6	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC5=C4N=CC=C5)C=CC(=C3)OC	8.1192
842	Ki	200.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)CC4=CC=CC=C4)C=CC(=C3)OC	6.699
844	Ki	1450.0	CC1=NCCC2=C1NC3=CC=CC=C23	5.8386
845	Ki	1930.0	CC1=NCCC2=C1NC3=C2C=C(C=C3)OC	5.7144
846	Ki	1480.0	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC	5.8297
887	Ki	90.0	CCN(CC)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C	7.0458
888	Ki	34.0	CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC(=C3)OC)CCN(C)C	7.4685
889	Ki	230.0	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C	6.6383
890	Ki	27.0	CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)CCN(C)C	7.5686
900	Ki	23.0	CNCCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3	7.6383
901	Ki	0.6	CCN(CC)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N	9.2218
918	Ki	0.6	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N	9.2218
919	Ki	43.0	CN(CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3)CC4=CC=CC=C4	7.3665
920	Ki	6.2	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3	8.2076
922	Ki	3.0	CN(CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N)CC4=CC=CC=C4	8.5229
924	Ki	851.14	C1C[C@@H](N(C1)S(=O)(=O)C2=CC3=C(C=C2)C=CN3)CCN4CCC(CC4)OC5=CC=C(C=C5)Cl	6.07
927	Ki	4066.0	C1CCN2CCCN(CC2C1)CCN3C=CC4=C3C=C(C=C4)Br	5.3908
949	Ki	5.012	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCCCC5C4	8.3
958	Ki	0.7943	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCC[C@@H]5C4	9.1
964	Ki	1.259	CC1=CC(=C2C=C(C=CC2=N1)NS(=O)(=O)C3=C(C4=C(S3)C=CC(=C4)Cl)C)N5CCNCC5	8.9
966	Ki	1.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN(CC5)C	9.0
968	Ki	1.995	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.7001
971	Ki	1.0	CC1=C(C2=C(S1)C=CC(=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	9.0
973	Ki	0.5012	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)C5=CC=CC=C5	9.3
975	Ki	1.0	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC5=C(C=C4)C(=CC=C5)Cl	9.0
977	Ki	1.259	C[C@H]1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	8.9
979	Ki	1.259	CCC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.9
1004	Ki	79.43	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=CC(=CN=C4C=C3)N5CCN(CC5)C	7.1
1005	Ki	1.995	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN6CCC[C@H]6C5	8.7001
1008	Ki	5.012	C[C@@H]1CN(C[C@@H](N1)C)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	8.3
1009	Ki	25.12	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC(=CC(=C4)Cl)Cl	7.6
1012	Ki	7.943	CC1=C(C2=C(S1)C=C(C=C2Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.1
1013	Ki	1.995	C[C@@H]1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	8.7001
1014	Ki	31.62	C[C@H]1CN[C@@H](CN1C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C)C	7.5
1015	Ki	19.95	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN[C@@H](C5)C(C)C	7.7001
1016	Ki	1.585	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)I	8.8
1017	Ki	6.31	CC1=C(SC2=C1C=C(C=C2Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.2
1018	Ki	1.995	CC1=C(C2=C(S1)C(=CC(=C2)Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.7001
1021	Ki	0.631	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4	9.2
1023	Ki	3.981	CC1=C(OC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.4
1026	Ki	1.995	CC1=C(C2=C(S1)C(=CC=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.7001
1030	Ki	3.162	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl	8.5
1035	Ki	1.585	CC(C)C1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	8.8
1038	Ki	2.512	CC1=CN=C2C=CC(=CC2=C1N3CCNCC3)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	8.6
1039	Ki	1.259	CC1=CC(=C(C=C1Cl)C)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4	8.9
1040	Ki	1995.26	C1C[C@H]2CC(C[C@@H]1N2CC3CCC(CC3)NC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl)C5=CNC6=C5C=C(C=C6)O	5.7
1042	Ki	79.43	C1CN(CCC1C2=CNC3=C2C=C(C=C3)O)CCCCCNC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl	7.1
1043	Ki	7385.0	COC1=CC=CC=C1N2CCN(CC2)CC3=CNC4=C3C=CC=N4	5.1316
1044	Ki	7109.5	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)C(F)(F)F	5.1482
1045	Ki	6486.5	CCCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4	5.188
1046	Ki	4460.7	CCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4	5.3506
1047	Ki	1656.2	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)Cl	5.7809
1055	Ki	0.7943	CC1=C(C=C(C=C1)I)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3	9.1
1056	Ki	0.7943	CC1(CC2=CC=CC=C2N1S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4)C	9.1
1057	Ki	0.7943	COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC3=C2C=C(C=C3Cl)Cl)N4CCNCC4	9.1
1058	Ki	7.943	CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3)Br	8.1
1059	Ki	3.981	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C2C=CC(=C3)I)N4CCNCC4	8.4
1060	Ki	0.5012	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC(=C2)Br)Br)N3CCNCC3	9.3
1061	Ki	3.981	CC1=CC2=C(C=C1C(F)(F)F)N(CC2)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4	8.4
1062	Ki	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)F)N3CCNCC3	8.6
1063	Ki	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)Br)N3CCNCC3	8.6
1064	Ki	1.585	COC1=C2CCN(CC2=C(C=C1)OC)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4	8.8
1065	Ki	0.5012	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C(C=CC(=C3C2)Cl)Cl)N4CCNCC4	9.3
