	Standard Value	Smiles	Standard Activity
22	55.0	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	1
23	9.5	CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42	1
24	60.0	CC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C	1
25	4.0	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	1
26	5.0	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Br)OC	1
27	5.0	C1CCN2CCNCC2C1	1
28	33.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C3=CC=CC=C3	1
29	20.0	CCOC(=O)C1=C(C2=CC=CC=C2N1)CCN(C)C	1
30	71.0	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F	1
31	2.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N	1
32	4.1	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3	1
33	6.5	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)CC3=CC=CC=C3	1
34	1.5	CN(C)CCC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3	1
35	7.9	CN(C)CCCC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3	1
36	19600.0	CN(C)CCC1=CNC2=C1C=CC=C2OC	0
37	20.0	CN(C)CCC1=C(NC2=C1C=C(C=C2)OC)C3=CC=CC=C3	1
38	16.0	CCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C	1
39	80.0	CC1=C(C2=C(N1)C=CC(=C2)OC)CCN	1
40	16.0	CN(C)CCC1=CNC2=C1C=C(C=C2)OC	1
41	5.0	CN(C)CCC1=CN(C2=C1C=CC=C2OC)S(=O)(=O)C3=CC4=CC=CC=C4C=C3	1
42	130.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)OC)N	1
43	1.5	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC=C4)C=CC(=C3)OC	1
44	50.0	C1=CC(=CC=C1N)S(=O)(=O)NC2=CC(=CC3=C2C=CN3)Br	1
45	1.4	CNC1=C(C=CC(=C1)N2CCCNCC2)S(=O)(=O)C3=CC=C(C=C3)F	1
46	55.0	C1=CC(=CC=C1N)S(=O)(=O)NC2=CC(=NC(=C2)Br)N	1
47	1000.0	CNC1=CC(=NC(=N1)N)NS(=O)(=O)C2=CC=C(C=C2)N	1
48	154.0	CN(C)CCC1=CNC2=C1C(=CC=C2)OC	1
49	0.7	C1CC2CN(CCN2C1)C3=CC4=C(C=C3)C=CN4S(=O)(=O)C5=CC=CC6=CC=CC=C65	1
50	0.9	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC4=CC=CC=C43	1
51	0.8	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N	1
52	18.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C(=O)C3=CC=CC=C3	1
53	20.0	CNC1=CC(=CC(=C1)Br)NS(=O)(=O)C2=CC=C(C=C2)N	1
54	1.3	CN(C)CCC1=C(NC2=CC=CC=C21)C3=NC(=NO3)CC4=CC(=CC=C4)OC	1
55	200.0	CNC1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)NC	1
56	1595.0	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F	1
57	8000.0	CN(C)CCC1=CNC2=C1C=CC(=C2)OC	1
58	0.6	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C	1
59	0.8	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCC[C@H]5C4	1
60	15.0	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	1
61	3.0	CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	1
62	7.2	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)O)N	1
63	136.0	CN(C)CC1CCCC2=C1C3=C(N2CC4=CC=CC=C4)C=CC(=C3)OC	1
64	0.3	COC1=C(C=C(C=C1)S(=O)(=O)N2C=CC3=C2C=C(C=C3)Br)N4CCNCC4	1
65	6.9	CN(C)CC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N	1
66	168.0	CN(C)CC1CCCC2=C1C3=C(N2)C=CC(=C3)OC	1
67	1.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4	1
68	3600.0	C1CN(CCN1)C2=NC3=CC=CC=C3C=C2	1
69	2800.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O	1
70	400.0	CN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CNC(=O)OCC5=CC=CC=C5	1
71	0.4	CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC	1
72	13.0	C[C@@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	1
73	15.0	C[C@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	1
74	61.0	C[C@@H]1C[C@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	1
