	Smiles	Standard Type	Standard Value	pChEMBL Value
1179	CSc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br	Ki	194.0	6.71
1180	CN1CCN(Cc2cn(S(=O)(=O)c3ccccc3Br)c3ccc([N+](=O)[O-])cc23)CC1	Ki	200.0	6.7
1181	COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br.CS(=O)(=O)O.O	Ki	2.0	8.7
1187	CN1CCN(c2nc(N)nc(Cc3ccncc3)n2)CC1	Ki	1828.0	5.74
1190	CN1CCN(c2ccc([N+](=O)[O-])c(NC(c3ccccc3)c3ccccc3)c2)CC1	Ki	4489.0	5.35
1195	NCCc1cn(S(=O)(=O)c2cc(Cl)c(Cl)s2)c2ccccc12	Ki	31.0	7.51
1196	COc1ccc(S(=O)(=O)n2cc(CCN)c3ccccc32)cc1	Ki	47.0	7.33
1197	CN(C)CCc1cn(Sc2ccccc2)c2ccccc12	Ki	90.0	7.05
1198	CN(C)[C@@H]1CCc2c(cccc2NS(=O)(=O)c2ccccc2)C1	Ki	49.0	7.31
1200	CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cc(F)ccc2F)CC1	Ki	324.0	6.49
1213	O=S(=O)(NCCCCN1CCc2ccccc2C1)c1ccc2ncccc2c1	Ki	1518.0	5.82
1215	CN(CCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1)Cc1ccccc1	Ki	15.0	7.82
1216	COc1ccc2[nH]c3c(c2c1)CCN=C3C	Ki	1930.0	5.71
1223	O=S(=O)(c1ccccc1)c1cn(C2CCN(Cc3ccccc3)C2)c2ccccc12	Ki	113.0	6.95
1224	O=S(=O)(c1cccc(F)c1)c1cn(C2CCNC2)c2cccc(F)c12	Ki	18.0	7.75
1230	O=C(CCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2	Ki	5.55	8.26
1232	Cc1cc(C)n2nc(N(C)CCN(C)C)c(S(=O)(=O)c3ccccc3)c2n1	Ki	489.0	6.31
1233	CC1(c2ccc(I)cc2)C(=O)Nc2cc(Cl)cc(Cl)c2C1=O	Ki	952.0	6.02
1235	O=S(=O)(c1ccccc1F)N1CCOc2c(N3CCNCC3)cc(Cl)cc21	Ki	0.3981	9.4
1240	O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cccc(N3CCNCC3)c12	Ki	48.0	7.32
1241	COc1cccc(S(=O)(=O)c2n[nH]c3ccc(N4CCN(C)CC4)cc23)c1	Ki	1.1	8.96
1242	CN1CCN(c2ccc3[nH]nc(S(=O)(=O)c4c(Cl)cccc4Cl)c3c2)CC1	Ki	2.6	8.59
1243	O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(N3CCNCC3)cc12	Ki	1.1	8.96
1244	COc1ccc(S(=O)(=O)c2n[nH]c3cc(N4CCNCC4)ccc23)cc1	Ki	124.0	6.91
1246	CN(C)CCCN1c2ccccc2Sc2ccccc21	Ki	127.0	6.9
1248	CN(C)CCN(Cc1cccs1)c1ccccn1	Ki	1435.0	5.84
1262	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1	Ki	130.0	6.89
1263	O=S(=O)(c1cccc(F)c1)c1n[nH]c2cc(N3CCNCC3)ccc12	Ki	11.0	7.96
1264	CCn1nc(S(=O)(=O)c2ccccc2)c2cc(N3CCNCC3)ccc21	Ki	2.9	8.54
1265	CN1CCN(c2ccc3c(c2)c(S(=O)(=O)c2cccc4ccccc24)nn3C)CC1	Ki	1.7	8.77
1266	CCCn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCN(C)CC3)ccc21	Ki	1.8	8.74
1267	CC(C)Cn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21	Ki	4.6	8.34
1268	CN1CCN(c2ccc3c(c2)c(S(=O)(=O)c2cccc4ccccc24)nn3Cc2ccccc2)CC1	Ki	2.0	8.7
1274	Brc1ccc2ccn(CCN3CCCN4CCCCC4C3)c2c1	Ki	4066.0	5.39
1277	NC1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc(Cl)c4)c3c2)CC1	Ki	8.04	8.1
1278	N[C@H]1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)C1	Ki	3.06	8.51
1279	NC1CN(c2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)C1	Ki	3.55	8.45
1280	COc1ccc(S(=O)(=O)c2ccc3[nH]nc(C4CCN(C)CC4)c3c2)cc1	Ki	123.0	6.91
1281	O=S(=O)(c1cccc(Cl)c1)c1cn(C2CCNC2)c2ncccc12	Ki	1.514	8.82
1282	O=S(=O)(c1cn(C2CCNC2)c2ncccc12)c1cccc2cccnc12	Ki	5.754	8.24
1283	O=S(=O)(c1cn(C2CCNC2)c2ncccc12)c1c(Cl)nc2sccn12	Ki	1.0	9.0
1284	CN1CCCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3cccnc32)C1	Ki	4.677	8.33
1285	CC(C)N1CCCC(n2cc(S(=O)(=O)c3c(Cl)nc4sccn34)c3cccnc32)C1	Ki	1.698	8.77
1290	Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1	Ki	34.0	7.47
1291	Cl.O=S(=O)(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc2cccnc2c1	Ki	1725.0	5.76
1292	Cl.O=S(=O)(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)c1cnc2ccccc2c1	Ki	339.0	6.47
1293	O=S(=O)(c1ccccc1Cl)n1ccc2cc3c(cc21)CCNCC3	Ki	7.943	8.1
1295	COc1c(OCCF)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1	Ki	3842.0	5.42
1296	OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1	Ki	1680.0	5.78
1297	O=S(=O)(c1cccc2ccccc12)c1cccc2oc(N3CCNCC3)nc12	Ki	3.1	8.51
1298	O=S(=O)(c1ccc2nc(N3CCNCC3)oc2c1)c1cccc2ccccc12	Ki	196.0	6.71
1299	O=S(=O)(c1cccc2ccccc12)c1cccc2oc(N3CCN(CCCc4ccccc4)CC3)nc12	Ki	127.0	6.9
1300	CN(C)CCc1cn(Cc2ccc(N)cc2)c2ccccc12	Ki	44.0	7.36
1301	CN(C)CCc1cn(S(=O)(=O)C2CCCCC2)c2ccccc12	Ki	210.0	6.68
1302	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccccc1Cl	Ki	11.0	7.96
1304	C[C@@H]1NC(NCC(F)F)=Nc2cccc(Cl)c21	Ki	4476.2	5.35
1305	Cc1c(OS(=O)(=O)c2ccc(Cl)cc2)cccc1C1CCNCC1	Ki	24.7	7.61
1306	Cc1c(O[C@H](C)c2ccccc2)cccc1N1CCNCC1	Ki	70.7	7.15
1307	Cc1c(OCc2cccc(F)c2)cccc1N1CCNCC1	Ki	10.3	7.99
1308	CCc1ccc(S(=O)(=O)Oc2cccc(C3CCNCC3)c2C)cc1	Ki	11.3	7.95
1309	Cc1c(C2CCNCC2)ccnc1OCc1cccc(F)c1	Ki	17.8	7.75
1310	Cc1c(OS(=O)(=O)c2ccccc2)cccc1C1CCNCC1	Ki	19.6	7.71
1311	Cc1c(O[C@H](C)c2cccc(F)c2)cccc1C1CCNCC1	Ki	39.8	7.4
1312	Cc1c(C2CCNCC2)ccnc1O[C@@H](C)c1ccccc1	Ki	48.5	7.31
1313	Cc1c(C2CCNCC2)ccnc1O[C@H](C)c1cccc(Cl)c1	Ki	208.0	6.68
1315	Cc1c(COc2cccc(Cl)c2)cccc1C1CCNCC1	Ki	3.5	8.46
1329	CN1CCCC(n2cc(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cccnc32)C1	Ki	2.1	8.68
1330	CSc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCN(C)C3	Ki	372.0	6.43
1333	CNc1cc(NC)cc(NS(=O)(=O)c2ccc(N)cc2)c1	Ki	200.0	6.7
1334	CN(C)CCn1cc(S(=O)(=O)c2c(Cl)nc3sccn23)c2cccnc21	Ki	0.9	9.05
1337	CCN/C(=N\S(=O)(=O)c1cc(Cl)cc(Cl)c1)N1CC(CC)C=N1	Ki	21.9	7.66
1338	CCC1C=NN(/C(N)=N/S(=O)(=O)c2cccc(Cl)c2)C1	Ki	24.2	7.62
1339	CCN/C(=N\S(=O)(=O)c1cc(Cl)ccc1Cl)N1CC(CC)C=N1	Ki	119.4	6.92
1340	CCCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1	Ki	6486.5	5.19
1341	CNc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCN(C)C3	Ki	3.26	8.49
1342	CCN(CC)CCc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	Ki	0.6	9.22
1344	Cc1sc2ccc(Cl)cc2c1S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1	Ki	1.0	9.0
1346	O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc2c(Cl)cccc2c1	Ki	1.0	9.0
1351	CC(=O)Nc1ccc(S(=O)(=O)n2cc(CCN(C)C)c3ccccc32)cc1	Ki	27.0	7.57
1353	CN[C@H]1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2[C@H]1CCO	Ki	10.0	8.0
1354	COCc1cc(C)nc2c(S(=O)(=O)c3ccccc3)c(SC)nn12	Ki	154.88	6.81
1356	CNc1nn2c(CO)cc(C)nc2c1S(=O)(=O)c1ccccc1	Ki	0.2818	9.55
1357	O=C1CC(c2ccccc2)CN1c1ccc2c(N3CCNCC3)ccnc2c1	Ki	55.0	7.26
1358	COc1ccccc1C1CN(c2ccc3c(c2)CCNCC3)C(=O)O1	Ki	87.0	7.06
1359	O=C1OC(c2cccc(Cl)c2)CN1c1ccc2c(c1)CCNCC2	Ki	10.0	8.0
1360	Cl.O=S(=O)(c1ccccc1)c1n[nH]c2ccc(NC3CCNCC3)cc12	Ki	3.1	8.51
1361	CC(C)c1ccc(S(=O)(=O)c2n[nH]c3ccc(NC4CCNCC4)cc23)cc1.Cl	Ki	1.0	9.0
1362	COc1ccc(OC)c(S(=O)(=O)n2cc(CCN(C)C)c3c(OC)cccc32)c1	Ki	7.4	8.13
1363	COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1	Ki	5.012	8.3
1364	CN(C)CC1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21	Ki	0.0631	10.2
1365	CNC(=O)CNC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21	Ki	1.0	9.0
1366	O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)CCC[C@H]2CNCCO	Ki	0.1259	9.9
1367	O=C(NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21)c1ccc[nH]1	Ki	5.012	8.3
1368	O=S(=O)(c1cccc2ccccc12)n1ccc2ccc(N3CCN4CCCCC4C3)cc21	Ki	1.7	8.77
1369	O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3cccc(F)c3)CC2)CC1	Ki	3802.0	5.42
1370	O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC1	Ki	640.0	6.19
1371	COc1ccc2c(c1)c(CCN(C)C)cn2Cc1ccccc1	Ki	6.5	8.19
1372	CNS(=O)(=O)c1ccc2[nH]cc(CCN(C)C)c2c1	Ki	2600.0	5.58
1373	COc1ccc(S(=O)(=O)Nc2ccc(C)cc2Br)cc1N1CCNCC1	Ki	7.943	8.1
1374	Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1	Ki	1.2	8.92
1375	CCN(CC)CCc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccc(OC)cc12	Ki	0.6	9.22
1376	O=C(c1ccc(Cl)cc1)N1CCN(CCN2CCC3(C2)C(=O)Nc2ccccc23)CC1	Ki	7746.0	5.11
1377	O=S(=O)(c1cccc(F)c1)n1cc(C2=CCNCC2)c2ccc3cccnc3c21	Ki	45.0	7.35
1378	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1cccc(Cl)c1	Ki	7.9	8.1
1379	O=S(=O)(Cc1ccccc1I)Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1	Ki	1.0	9.0
1380	CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12	Ki	2.2	8.66
1381	O=S(=O)(Nc1ccc2[nH]cc(C[C@@H]3CCCN3)c2c1)c1ccc(C(F)(F)F)cc1	Ki	10.0	8.0
1385	CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2ccccc21	Ki	3.7	8.43
1386	CN(C[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21)C(N)=O	Ki	39.81	7.4
1387	O=C1CN=C(NC[C@@H]2CCCc3cc(S(=O)(=O)c4cccc(F)c4)ccc32)N1	Ki	0.1	10.0
1388	O=C(NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21)[C@H]1CCCN1	Ki	0.631	9.2
1389	CN(C)CCc1cn(S(=O)(=O)c2ccccc2)c2ccc(C#N)cc12	Ki	33.0	7.48
1390	CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc4c(c3)OCCO4)c3ccccc32)CC1	Ki	50.12	7.3
1391	COc1ccc2c(c1)c(-c1[nH]c(NC(=O)Cc3ccccc3)nc1C)cn2S(=O)(=O)c1ccccc1	Ki	3.0	8.52
1392	COc1ccc2c(c1)c(-c1[nH]c3nccc[n+]3c1C)cn2S(=O)(=O)c1ccccc1.[Br-]	Ki	250.0	6.6
1393	CN1CCN(c2nc3c(S(=O)(=O)c4cccc5ccccc45)cccc3o2)CC1	Ki	9.7	8.01
1394	O=[N+]([O-])c1ccc(-c2ccc(CNCCc3c[nH]c4ccccc34)o2)cc1	Ki	774.0	6.11
1395	CC(Cc1c[nH]c2ccccc12)NCc1ccc(-c2ccc(O)cc2)o1	Ki	475.0	6.32
1396	O=S(=O)(c1ccccc1)c1ccc2c3c(oc2c1)CCNC3	Ki	9.8	8.01
1398	CNc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3	Ki	0.088	10.06
1399	Cc1c(S(=O)(=O)Nc2ccc3ccn(CCN(C)C)c3c2)sc2ccc(Cl)cc12	Ki	90.2	7.04
1400	Cc1c(S(=O)(=O)Nc2ccc3ccn(CCN4CCCC4)c3c2)sc2ccc(Cl)cc12	Ki	108.8	6.96
1401	COc1ccc(OC)c(S(=O)(=O)N2CCC(N3C(=O)OCc4cccc(C)c43)CC2)c1	Ki	131.3	6.88
1404	COc1ccc(S(=O)(=O)N2CCCc3ccc(Br)cc32)cc1N1CCNCC1	Ki	0.3162	9.5
1405	COc1ccc(N(CCCCN2CCC(O)(c3ccc(Cl)c(C(F)(F)F)c3)CC2)c2ccc(OC)cc2)cc1	Ki	1400.0	5.85
1409	CN1CCN(c2ccc(C#N)c(NCc3ccco3)c2)CC1	Ki	1365.0	5.87
1410	NCCc1cn(S(=O)(=O)c2ccccc2)c2ccccc12	Ki	10.0	8.0
1411	NCCc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	Ki	1.0	9.0
1413	c1ccc2c(N3CCNCC3)cccc2c1	Ki	104.0	6.98
1414	O=S(=O)(c1cccc2ccccc12)c1cccc2nc(N3CCNCC3)oc12	Ki	7.1	8.15
1415	CCCCN1CCN(c2nc3c(S(=O)(=O)c4cccc5ccccc45)cccc3o2)CC1	Ki	88.0	7.06
1416	O=S(=O)(c1cccc2ccccc12)c1cccc2oc(N3CCN(C4CCC4)CC3)nc12	Ki	72.0	7.14
1417	CNCCC1=CC(CCc2ccccc2)c2ccccc21	Ki	100.0	7.0
1418	CN1CCc2ccc(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)s3)cc2CC1	Ki	3.981	8.4
1420	O=S(=O)(Nc1ccc2c(c1)C(CCN1CCCCC1)=CC2)c1c(Cl)nc2sccn12	Ki	31.0	7.51
1421	CC1=C(CCN2CCCC2)c2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc2C1	Ki	17.0	7.77
1423	COc1ccc(S(=O)(=O)n2cc(C3CCN(C)C3)c3ccccc32)cc1OC	Ki	5.0	8.3
1424	Cc1c(OCc2cccc(F)c2)cccc1C1CCNCC1	Ki	2.5	8.6
1425	Cc1c(COc2cccc(F)c2)cccc1C1CCNCC1	Ki	6.5	8.19
1426	Cc1c(C2CCNCC2)ccnc1O[C@@H](C)c1cccc(Cl)c1	Ki	10.5	7.98
1427	CCC(Oc1cccc(C2CCNCC2)c1C)c1cccc(Cl)c1	Ki	17.9	7.75
1428	COc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccccc32)cc1	Ki	18.0	7.75
1431	Cc1cc2cc(NS(=O)(=O)c3cccc4ccccc34)ccc2n1CCN(C)C	Ki	123.6	6.91
1432	Cc1c(S(=O)(=O)c2ccccc2)c2ccccc2n1CCN(C)C	Ki	18.0	7.75
1433	CN(C)CCn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21	Ki	1011.0	6.0
1434	Nc1ccc(CC2CCc3ccccc32)cc1	Ki	6100.0	5.21
1435	CN(C)CCn1cc(Cc2ccc(N)cc2)c2ccccc21	Ki	50.0	7.3
1439	Cc1cccc2c1N(C1CCN(S(=O)(=O)c3cccc4cccnc34)CC1)C(=O)OC2	Ki	165.9	6.78
1440	CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4cccc5ccccc45)cc23)CC1	Ki	4.7	8.33
1441	CC(C)CS(=O)(=O)n1ccc2c(-c3cccc(C(F)(F)F)c3)cc(N3CCN(C)CC3)nc21	Ki	48.0	7.32
1443	COCCS(=O)(=O)n1ccc2c(-c3ccc(C(F)(F)F)cc3)cc(N3CCN(C)CC3)nc21	Ki	8.0	8.1
1445	Cl.O=S(=O)(c1ccccc1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21	Ki	83.0	7.08
1446	COc1cccc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1.Cl	Ki	85.0	7.07
1447	Cl.O=S(=O)(c1cc(F)cc(Cl)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21	Ki	68.0	7.17
1448	Cl.O=S(=O)(c1ccc2c(c1)O[C@H]1CNCC[C@@H]21)c1cccc(Cl)c1Cl	Ki	2.0	8.7
1449	CN1CCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3cccnc32)C1	Ki	1.4	8.85
1450	CN1CCC(n2cc(S(=O)(=O)c3ccccc3F)c3cccnc32)C1	Ki	5.6	8.25
1451	O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(Cl)cc2s1	Ki	61.66	7.21
1452	O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1	Ki	27.54	7.56
1453	Cc1cccc(S(=O)(=O)n2c3c(c4ccccc42)CCNCC3)c1	Ki	68.0	7.17
1454	Cn1c2c(c3cc(S(=O)(=O)c4cnc5[nH]ccc5c4)ccc31)C1CCC(C2)N1	Ki	2.9	8.54
1455	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OC(F)(F)F)c31)C1CCC(C2)N1	Ki	70.0	7.16
1457	Cn1c2c(c3cc(S(=O)(=O)c4c[nH]c5ccccc45)ccc31)C1CCC(C2)N1	Ki	0.74	9.13
1458	Cn1c2c(c3cc(S(=O)(=O)c4cccc(F)c4)cc(O)c31)C1CCC(C2)N1	Ki	1.8	8.74
1459	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OCc4ccccc4)c31)C1CCC(C2)N1	Ki	14.0	7.85
1460	CCCCS(=O)(=O)n1cc(CCN(C)C)c2ccccc21	Ki	135.0	6.87
1461	Cc1cc(N2CCNCC2)c2c(c1)N(S(=O)(=O)c1ccccc1F)CCO2	Ki	0.3981	9.4
1462	O=S(=O)(c1ccccc1)N1CCOc2c(N3CCCNCC3)cc(Cl)cc21	Ki	3.981	8.4
1463	CC1=C(CCN(C)C)c2cc(NS(=O)(=O)c3cccc4ccccc34)ccc2C1	Ki	276.0	6.56
1465	COc1ccc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1N1CCNCC1	Ki	2.512	8.6
1471	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccccc32)cc1	Ki	2.0	8.7
1472	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccc(Cl)cc32)cc1	Ki	3.0	8.52
1473	O=S(=O)(c1ccc(Cl)cc1)n1cc(C2=CCNCC2)c2cc(F)ccc21	Ki	14.0	7.85
1476	CCCCS(=O)(=O)n1cc(C2=CCNCC2)c2ccccc21	Ki	77.0	7.11
1478	O=S(=O)(Nc1ccc2[nH]cc(CCN3CCCC3)c2c1)c1ccc2ccccc2c1	Ki	4.3	8.37
1479	O=S(=O)(c1ccc(Cl)cc1)n1ccc2c(N3CCNCC3)cccc21	Ki	1.995	8.7
1480	O=S(=O)(c1cccc(Cl)c1)n1cc(Cl)c2c(N3CCNCC3)cccc21	Ki	0.3162	9.5
1481	O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)ccc(Cl)c21	Ki	0.3162	9.5
1482	O=S(=O)(c1ccc(C2CCOC2)cc1)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	5.6	8.25
1483	Nc1ccc(S(=O)(=O)Nc2ccc3cc[nH]c3c2)cc1	Ki	1258.93	5.9
1484	O=S(=O)(Nc1ccc2ccn(CCN3CCCC3)c2c1)c1c(Cl)nc2sccn12	Ki	50.12	7.3
1485	NCCn1cc(S(=O)(=O)c2ccccc2)c2cc(F)ccc21	Ki	27.0	7.57
1486	COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Br)c2Cl)cc1N1CCNCC1	Ki	1.995	8.7
1487	COc1ccc(S(=O)(=O)N2CCCc3c(Cl)cc(Cl)cc32)cc1N1CCNCC1	Ki	0.7943	9.1
1488	CN(C)CCCc1cccc2c1ccn2S(=O)(=O)c1ccccc1	Ki	7.9	8.1
1489	Cn1nc2ccc(N3CC[C@@H](N)C3)cc2c1S(=O)(=O)c1cccc2ccccc12	Ki	54.3	7.26
1490	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccc(Cl)cc1	Ki	17.0	7.77
1491	Cc1ccc(CCn2c3c(c4cc(C)ccc42)CN(C)CC3)cc1	Ki	2.399	8.62
1492	COc1cc2c(cc1O)C[C@H]1c3c(cc(OC)c(OC)c3-2)CCN1C	Ki	306.0	6.51
1494	Cc1ccc2c(N3CCN(CCc4cccc(N5CCOC5=O)c4)CC3)cccc2n1	Ki	3162.28	5.5
1495	Cc1ccc(S(=O)(=O)n2cc3c4c(cccc42)[C@H](O)[C@@H](N)C3)cc1	Ki	7.2	8.14
1497	CN(C)CCc1cccc2c1ccn2S(=O)(=O)c1ccccc1	Ki	1.5	8.82
1498	CN1CCN(Cc2ccc3c(c2)c(Cl)cn3S(=O)(=O)c2ccc(F)cc2F)CC1	Ki	3.36	8.47
1499	O=S(=O)(c1ccccc1Br)n1ccc2cc(CN3CCNCC3)ccc21	Ki	7.77	8.11
1500	CCN1CCN(Cc2ccc3c(ccn3S(=O)(=O)c3cccc(Cl)c3Cl)c2)CC1	Ki	5.52	8.26
1501	COc1ccc(S(=O)(=O)Nc2cc(Cl)c(Cl)cc2Cl)cc1N1CCNCC1	Ki	5.012	8.3
1504	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4cccc(Cl)c4)cc23)CC1	Ki	19.0	7.72
1505	O=S(=O)(c1ccccc1)N1Cc2cccc(C3CCN(C4CCC4)CC3)c2C1	Ki	42.0	7.38
1507	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4ccc(F)cc4)cc23)CC1	Ki	66.0	7.18
1508	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4ccc(C(F)(F)F)cc4)cc23)CC1	Ki	46.0	7.34
1509	COc1cccc(Sc2ccc3c(c2)N2CCNCC2C3)c1	Ki	110.0	6.96
1510	Cc1cccc(Sc2ccc3c(c2)N2CCNCC2C3)c1	Ki	50.0	7.3
1511	COc1ccc(S(=O)(=O)Nc2cccc(Br)c2)cc1N1CCNCC1	Ki	1.259	8.9
1512	Cl.O=S(=O)(c1ccc2ccccc2c1)c1n[nH]c2ccc(NC3CCNCC3)cc12	Ki	0.6	9.22
1515	CCN(CC)CCC(=O)Nc1ccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c2c1.Cl	Ki	65.0	7.19
1516	Cl.O=C(CCN1CCCCC1)Nc1ccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c2c1	Ki	12.0	7.92
1517	Cl.O=C(Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12)C1CCCNC1	Ki	9.8	8.01
1518	O=S(=O)(c1ccccc1F)n1cc(C2=CCNCC2)c2ccccc21	Ki	1.0	9.0
1519	COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1	Ki	841.0	6.08
1520	COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1	Ki	2410.0	5.62
1521	CCN1CCN(c2nc3c(S(=O)(=O)c4cccc5ccccc45)cccc3o2)CC1	Ki	12.0	7.92
1522	COc1ccc(-c2cc(N3CCN(C)CC3)nc3c2ccn3S(=O)(=O)CC(C)C)cc1	Ki	2.0	8.7
1523	O=C(O)C(=O)O.O=C(c1ccccc1)c1ccc(N2CCNCC2)c2ccccc12	Ki	57.0	7.24
1524	NCc1cccc(NS(=O)(=O)c2ccccc2)c1	Ki	290.0	6.54
1526	CN1CC=C(c2cn(C(=O)c3ccccc3)c3ccccc23)CC1	Ki	99.0	7.0
1527	CC(C)(C)OC(=O)N1CC=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1	Ki	54.0	7.27
1528	O=S(=O)(c1ccccc1Cl)n1cc(C2=CCNCC2)c2ccccc21	Ki	0.4	9.4
1529	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3cc4c(cc32)OCO4)cc1	Ki	1.0	9.0
1531	CN1CC=C(c2cn(S(=O)(=O)c3ccccc3F)c3ccccc23)CC1	Ki	10.0	8.0
1532	CN1CCCC(n2cc(S(=O)(=O)c3c(Cl)nc4sccn34)c3cccnc32)C1	Ki	1.995	8.7
1533	COc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)cc1N1CCN(CCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	Ki	554.0	6.26
1534	Cc1c(C2CCNCC2)ccnc1OC(c1cccc(Cl)c1)C(F)(F)F	Ki	2.4	8.62
1535	Cc1c(C2CCNCC2)ccnc1OCc1ccc(F)cc1F	Ki	239.0	6.62
1536	CN1CC=C(c2cn(S(=O)(=O)c3cccc4ccccc34)c3ccc(F)cc23)CC1	Ki	1.0	9.0
1537	CC(C)c1ccccc1OCCN1CCC(NC(=O)c2ccc3ccccc3n2)C1	Ki	1761.0	5.75
1538	O=S(=O)(NC1CCN(CCOc2cccc3c2CCCC3)C1)c1cc(F)ccc1F	Ki	156.0	6.81
1539	CSc1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc(Cl)c2)C1	Ki	185.0	6.73
