	Smiles	Standard Type	Standard Value	pChEMBL Value
76	Cc1cc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc2c3c(n(C)c12)CC1CCC3N1	Ki	3.6	8.44
77	Cn1c2c(c3cc(S(=O)(=O)c4cccc5cccnc45)ccc31)C1CCC(C2)N1	Ki	27.0	7.57
78	CCN1C2CCC1c1c(n(C)c3ccc(S(=O)(=O)c4ccc5[nH]ccc5c4)cc13)C2	Ki	0.77	9.11
79	Cn1c2c(c3cc(S(=O)(=O)n4ccc5cccnc54)ccc31)C1CCC(C2)N1	Ki	4.7	8.33
80	Cc1cn(S(=O)(=O)c2ccc3c(c2)c2c(n3C)CC3CCC2N3)c2ccccc12	Ki	0.72	9.14
81	O=c1c(-c2ccc(F)cc2)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccc(F)cc34)C1)CCCC2	Ki	728.0	6.14
82	CCN/C(=N\S(=O)(=O)c1ccc2ccccc2c1)N1CC(CC)C=N1	Ki	17.2	7.76
83	CCN/C(=N\S(=O)(=O)c1cccc(C(F)(F)F)c1)N1CC(CC)C=N1	Ki	17.9	7.75
84	CCN/C(=N\S(=O)(=O)c1cccc(C)c1)N1CC(CC)C=N1	Ki	27.4	7.56
85	CCN/C(=N\S(=O)(=O)c1ccccc1Cl)N1CC(CC)C=N1	Ki	27.8	7.56
86	CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CC)(CC)C=N1	Ki	49.9	7.3
87	CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCCCC2	Ki	5.2	8.28
89	O=C1c2cccc3cccc(c23)C(=O)N1CCCCCCN1CCN(c2ccccn2)CC1	Ki	1966.0	5.71
90	COc1cc(Oc2ccccc2)cc2c3c(oc12)CCNC3	Ki	645.0	6.19
91	O=S(=O)(c1ccc(-n2cccn2)cc1)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	26.0	7.58
92	CCN/C(=N\S(=O)(=O)c1c(Cl)nc2sccn12)N1CC(CC)C=N1	Ki	7.9	8.1
93	CCC1C=NN(/C(=N/S(=O)(=O)c2ccccc2Cl)NCc2ccccc2)C1	Ki	92.0	7.04
94	CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CF)(CF)C=N1	Ki	92.0	7.04
95	CSc1nn2c(C)c3c(nc2c1S(=O)(=O)c1ccccc1)CCCC3	Ki	0.68	9.17
