	Standard Type	Standard Value	Smiles
360	Ki	0.9	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC4=CC=CC=C43
368	Ki	0.8	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N
372	Ki	18.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C(=O)C3=CC=CC=C3
376	Ki	20.0	CNC1=CC(=CC(=C1)Br)NS(=O)(=O)C2=CC=C(C=C2)N
377	Ki	1.3	CN(C)CCC1=C(NC2=CC=CC=C21)C3=NC(=NO3)CC4=CC(=CC=C4)OC
379	Ki	200.0	CNC1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)NC
380	Ki	1595.0	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F
382	Ki	8000.0	CN(C)CCC1=CNC2=C1C=CC(=C2)OC
383	Ki	0.6	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C
387	Ki	0.8	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCC[C@H]5C4
391	Ki	15.0	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
393	Ki	3.0	CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
394	Ki	7.2	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)O)N
395	Ki	136.0	CN(C)CC1CCCC2=C1C3=C(N2CC4=CC=CC=C4)C=CC(=C3)OC
397	Ki	0.3	COC1=C(C=C(C=C1)S(=O)(=O)N2C=CC3=C2C=C(C=C3)Br)N4CCNCC4
442	Ki	6.8999999999999995	CN(C)CC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N
444	Ki	168.0	CN(C)CC1CCCC2=C1C3=C(N2)C=CC(=C3)OC
447	Ki	1.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4
506	Ki	3600.0	C1CN(CCN1)C2=NC3=CC=CC=C3C=C2
507	Ki	2800.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O
509	Ki	400.0	CN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CNC(=O)OCC5=CC=CC=C5
510	Ki	0.4	CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
526	Ki	13.0	C[C@@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
527	Ki	15.0	C[C@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
528	Ki	61.0	C[C@@H]1C[C@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
531	Ki	3000.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=C(C=C3)F
532	Ki	138.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=CC=C3I
533	Ki	300.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=C(C=C3)I
534	Ki	48.9	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC(=CC=C3)I
