	Standard Type	Standard Value	Smiles	pChEMBL Value
6238	Ki	2.8	CN1CCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=C4N=CC=C5	
6269	Ki	49.0	C1CN(CCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)CC5=CC=CC=C5	
6272	Ki	6.0	C1CC(CNC1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)F	
6366	Ki	5.7	CN1CCC2=C(C1)C3=C(N2C)C=CC(=C3)S(=O)(=O)C4=CC=CC=C4.Cl	
6370	Ki	2.1	CN1CCC2=C(C1)C3=C(N2)C=CC(=C3)S(=O)(=O)NC4=CC(=CC=C4)F.Cl	
6420	Ki	0.256	CC1=C2CCCCC2=NC3=C(C(=NN13)NC)S(=O)(=O)C4=CC=CC=C4	
6421	Ki	0.088	CNC1=NN2C3=C(CCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	
6423	Ki	0.112	CNC1=NN2C3=C(CCCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	
6425	Ki	0.202	CC1=NC2=C(C(=NN2C3=C1CCC3)NC)S(=O)(=O)C4=CC=CC=C4	
6427	Ki	0.49	CC1=NC2=C(C(=NN2C3=C1CCCC3)NC)S(=O)(=O)C4=CC=CC=C4	
6428	Ki	0.499	CNC1=NN2C=C3CCCCC3=NC2=C1S(=O)(=O)C4=CC=CC=C4	
6434	Ki	28.8	CN(C)C1=NN2C3=C(CCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	
6437	Ki	25.5	CC1=NC2=C(C(=NN2C3=C1CCC3)N(C)C)S(=O)(=O)C4=CC=CC=C4	
6438	Ki	869.0	CC1=NC2=C(C(=NN2C3=C1CCC3)N4CCNCC4)S(=O)(=O)C5=CC=CC=C5	
6441	Ki	1764.0	CC1=NC2=C(C(=NN2C3=C1CCCC3)N4CCNCC4)S(=O)(=O)C5=CC=CC=C5	
6442	Ki	0.23399999999999999	C1CN(CCN1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=C4	
6462	Ki	0.85	C1CC2=C(N3C(=C(C=N3)S(=O)(=O)C4=CC=CC=C4)N=C2C1)N5CCNCC5	
6469	Ki	1.0	CNC(=O)CNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6470	Ki	0.12589999999999998	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCCO	
6471	Ki	0.2512	COCCNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6472	Ki	0.2512	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)O)CN	
6473	Ki	0.39809999999999995	COC1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	
6474	Ki	0.07940000000000001	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN	
6475	Ki	3.9810000000000003	CS(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	
6476	Ki	0.3162	CC(=O)NC[C@@H]1CCCC2=C1C(=CC(=C2)S(=O)(=O)C3=CC=CC=C3)F	
6477	Ki	0.7943	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CN=CS3)CN	
6478	Ki	0.3162	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CN	
6479	Ki	0.631	CC(=NCC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3)N	
6480	Ki	0.0631	CN(C)CC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3	
6481	Ki	0.1585	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CN	
6482	Ki	0.5012000000000001	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)C#N)C=N	
6483	Ki	0.1585	CNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CNC=C3	
6484	Ki	1.9949999999999999	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNN=C3)CN	
6485	Ki	0.39809999999999995	CN(C)CC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6486	Ki	0.1995	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)N	
6487	Ki	1.585	COC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6488	Ki	1.585	CC(=O)N(C)C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6489	Ki	1.9949999999999999	CC(C)(C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)O	
6490	Ki	0.39809999999999995	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)S(=O)(=O)C	
6491	Ki	31.62	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNS(=O)(=O)C(F)(F)F	
6492	Ki	3.9810000000000003	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)S(=O)(=O)N	
6493	Ki	1.9949999999999999	CN(C)S(=O)(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6494	Ki	5.012	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)C4=CC=CN4	
6495	Ki	0.631	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)[C@H]4CCCN4	
6496	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CC(C4)O	
6497	Ki	0.0501	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNC4=CC=CC=C43)CN	
6498	Ki	5.012	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC(=CC4=C3N=CN4)F)CN	
6499	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCC(=O)N	
6500	Ki	1.259	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)CC(=O)N	
6501	Ki	0.631	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CNC(=O)N	
6502	Ki	158.48999999999998	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)CC3=CC=CC=C3)CN	
6503	Ki	0.3162	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNC=C3)CN	
6504	Ki	2.512	CN(C)C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6505	Ki	39.809999999999995	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)C(=O)N	
6506	Ki	0.7943	COCC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6507	Ki	31.62	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CCCS4(=O)=O	
6508	Ki	6.31	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CCNC(=O)C4	
6509	Ki	0.1585	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNCCO	
6510	Ki	0.1995	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)N	
6511	Ki	0.2512	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CO	
6512	Ki	1.259	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCCCS(=O)(=O)O	
6513	Ki	0.1585	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CN=C(N)N	
6514	Ki	0.3162	CNCC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3	
6515	Ki	25.12	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CNC4=NC=CC=N4	
6516	Ki	7.9430000000000005	CN1C=CC(=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	
6517	Ki	0.631	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CC(=O)N=C(N)N	
6518	Ki	0.39809999999999995	CNC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6519	Ki	0.12589999999999998	CC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6520	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CO	
6521	Ki	3.9810000000000003	CC(C)(C)C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6522	Ki	0.1995	CS(=O)(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6523	Ki	0.12589999999999998	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNS(=O)(=O)N	
6524	Ki	1.0	CNS(=O)(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6525	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC4=NCC(=O)N4	
6526	Ki	15.85	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)C4=NC=CN4	
6527	Ki	0.1585	CNCC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	
6528	Ki	158.48999999999998	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N5CC(C5)N	
6529	Ki	7.9430000000000005	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N5CCNCC5	
6530	Ki	79.43	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)NCCCN5C=CN=C5	
6531	Ki	50.12	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC5=C(C=C4)OCCO5	
6532	Ki	63.1	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N(C)C5CCN(CC5)C	
6533	Ki	316.23	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC=C4	
6534	Ki	31.62	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC(=C4)C5=CC=CC=C5	
6535	Ki	50.12	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)NC5CCN(CC5)CC6=CC=CC=C6	
6536	Ki	79.43	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N5CC(C5)CN	
6537	Ki	63.1	COC1=CC=CC(=C1)N2CCN(CC2)C(=O)C3CN(C4=CC=CC=C34)S(=O)(=O)C5=CC=C(C6=CC=CC=C65)OC	
6538	Ki	31.62	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)NCCCN5CCOCC5	
6539	Ki	5.012	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl	
6540	Ki	316.23	CC1=CC2=C(C(=CC=C2)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N(C)C5CCN(CC5)C)N=C1	
6541	Ki	125.89	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC5=NSN=C54	
6542	Ki	316.23	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CS4	
6543	Ki	100.0	CC1=C(C=CC(=C1C)S(=O)(=O)N2CC(C3=CC=CC=C32)C(=O)N(C)C4CCN(CC4)C)OC	
6544	Ki	31.62	CN1C2CCC1CC(C2)NC(=O)C3CN(C4=CC=CC=C34)S(=O)(=O)C5=CC=C(C6=CC=CC=C65)OC	
6545	Ki	7.9430000000000005	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=C(C5=CC=CC=C54)OC	
6546	Ki	25.12	CN1CCC(CC1)NC(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=C(C5=CC=CC=C54)OC	
6547	Ki	1.259	COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)N5CCCNCC5	
6548	Ki	19.95	CCN(CC)CCNC(=O)C1CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=C(C4=CC=CC=C43)OC	
6549	Ki	79.43	CCN(CC)CCCNC(=O)C1CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=C(C4=CC=CC=C43)OC	
6550	Ki	31.62	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC5=CC=CC=C54	
6551	Ki	25.12	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC5=CC=CC=C5C=C4	
6552	Ki	31.62	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC5CCOC5C=C4	
6553	Ki	25.12	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F	
6554	Ki	19.95	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=C(C=C4)OC(F)(F)F	
6555	Ki	25.12	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F	
6556	Ki	100.0	CC1=CC(=C(C(=C1S(=O)(=O)N2CC(C3=CC=CC=C32)C(=O)N(C)C4CCN(CC4)C)C)C)OC	
6557	Ki	125.89	CN1CCC(CC1)N(C)C(=O)C2CN(C3=CC=CC=C23)S(=O)(=O)C4=CC=C(C=C4)C5=CC=CC=C5	
6747	Ki	87.5	C1CCN(C1)C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC=CC=C5	
6758	Ki	103.0	CC(C12CC3CC(C1)CC(C3)C2)NC4=NC5=C(N=NN5C6=C4SC=C6)S(=O)(=O)C7=CC=CC=C7	
6987	Ki	215.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N(CCCCCCCCNS(=O)(=O)C3=CC=CC4=C3C=CC=C4N(C)C)C5=CC(=C(C=C5)OC)N6CCNCC6	
6989	Ki	194.0	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCN3CCN(CC3)C4=C(C=CC(=C4)NS(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C)OC	
6991	Ki	165.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)S(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C	
6993	Ki	447.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)CCCCCCCCNS(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C	
6995	Ki	523.0	CN(C)C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=C(C=C3)S(=O)(=O)NC4=CC(=C(C=C4)OC)N5CCNCC5	
6997	Ki	554.0	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCN3CCN(CC3)C4=C(C=CC(=C4)NS(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C)OC	
6999	Ki	135.0	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N(C3=CC(=C(C=C3)OC)N4CCNCC4)S(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C	
7001	Ki	741.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OCCCCCCCCNS(=O)(=O)C4=CC=CC5=C4C=CC=C5N(C)C)N6CCNCC6	
7003	Ki	175.0	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCN3CCN(CC3)C4=C(C=CC(=C4)NS(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C)OC	
7005	Ki	747.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N(CCCCNS(=O)(=O)C3=CC=CC4=C3C=CC=C4N(C)C)C5=CC(=C(C=C5)OC)N6CCNCC6	
7007	Ki	90.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)CCCCCCNC(=O)CCCCC5[C@@H]6[C@H](CS5)NC(=O)N6	
7008	Ki	266.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)CCCCCCNS(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C	
7010	Ki	8.0	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4	
7012	Ki	27.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)N(C3=CC(=C(C=C3)OC)N4CCNCC4)S(=O)(=O)C5=CC=CC6=C5C=CC=C6N(C)C	
7117	Ki	88.0	COC1=CC=C(C=C1)S(=O)(=O)C2=C3C(=NN2)C=CC=C3N4CCNCC4	
7130	Ki	207.0	C1CN(CCN1)C2=CC3=NNC(=C3C=C2)S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F	
7134	Ki	11.0	C1CN(CCN1)C2=CC3=NNC(=C3C=C2)S(=O)(=O)C4=CC=CC(=C4)F	
7135	Ki	124.0	COC1=CC=C(C=C1)S(=O)(=O)C2=C3C=CC(=CC3=NN2)N4CCNCC4	
7160	Ki	110.0	C1CN(CCN1)C2=CC3=NNC(=C3C=C2)S(=O)(=O)C4=CC=C(C=C4)Cl	
7185	Ki	125.0	C1CN(CCN1)C2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=C(C=C4)Cl	
7186	Ki	48.0	C1CN(CCN1)C2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54	
7196	Ki	27.0	CC1=CC=C(C=C1)S(=O)(=O)C2=C3C=CC(=CC3=NN2)N4CCNCC4	
7203	Ki	134.0	C1CN(CCN1)C2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=CC(=C4)F	
7204	Ki	134.0	CC1=CC=C(C=C1)S(=O)(=O)C2=C3C(=NN2)C=CC=C3N4CCNCC4	
7205	Ki	22.0	C1CN(CCN1)C2=CC3=NNC(=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	
7209	Ki	489.0	CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)NC)Cl	
7246	Ki	1.0	C1CNCC1N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC=C(S4)Cl	
7287	Ki	1.9949999999999999	CN1CCCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7288	Ki	0.7943	CN1CCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7313	Ki	0.7079	C1CC(CNC1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7314	Ki	0.7079	CCN1CCCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7315	Ki	1.0	C1CNCC1N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7348	Ki	1.6980000000000002	CC(C)N1CCCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7385	Ki	1.413	CCN1CCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(N=C5N4C=CS5)Cl	
7394	Ki	0.5622999999999999	CC1=NC2=C(C(=NN2C(=C1)CO)SC)S(=O)(=O)C3=CC=CC=C3	
7396	Ki	7.9430000000000005	CC1=NC2=C(C(=NN2C=C1)SC)S(=O)(=O)C3=CC(=C(C=C3)F)Cl	
7398	Ki	9.549999999999999	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=C(C=C3)OC)C	
7399	Ki	6.760999999999999	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=C(C=C3)F)C	
7402	Ki	1.9949999999999999	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=C(C=C3)O)C	
7403	Ki	3.162	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=C(C=C3)Cl)C	
7405	Ki	0.6026	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC(=C(C=C3)F)Cl)C	
7407	Ki	0.2818	CC1=NC2=C(C(=NN2C(=C1)CO)NC)S(=O)(=O)C3=CC=CC=C3	
7409	Ki	0.1862	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC(=CC=C3)Cl)C	
7411	Ki	44.67	CSC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC(=C(C=C3)F)Cl	
7413	Ki	11.75	CNC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC=C(C=C3)F	
7416	Ki	154.88	CC1=NC2=C(C(=NN2C(=C1)COC)SC)S(=O)(=O)C3=CC=CC=C3	
7417	Ki	1.445	CC1=NC2=C(C(=NN2C=C1)NC)S(=O)(=O)C3=CC=CC=C3	
7419	Ki	0.2399	CC1=CC=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3	
7422	Ki	0.47859999999999997	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3)CO	
7425	Ki	7.586	CC1=NC2=C(C(=NN2C(=C1)COC)NC)S(=O)(=O)C3=CC=CC=C3	
7428	Ki	3.8899999999999997	CNC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC=CC=C3	
7430	Ki	37.150000000000006	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=C(C=C3)N(C)C)C	
7431	Ki	15.14	CSC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC(=CC=C3)Cl	
7433	Ki	1.072	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC(=C3)F)C	
7435	Ki	131.83	CSC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC=C(C=C3)F	
7437	Ki	3.9810000000000003	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=C(C=C3)O)C	
7438	Ki	3.8019999999999996	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC(=C(C=C3)F)Cl)C	
7440	Ki	0.257	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3)C	
7447	Ki	37.150000000000006	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=C(C=C3)OC)C	
7449	Ki	114.82000000000001	CSC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC=CC=C3	
7451	Ki	1.202	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC=C3)C	
7458	Ki	0.2692	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3)COC	
7460	Ki	3.236	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC=C3)COC	
7462	Ki	2.1380000000000003	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC=C3)CO	
7464	Ki	0.5012000000000001	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC(=C3)F)C	
7466	Ki	0.7586	CC1=CC(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC(=CC=C3)Cl)C	
7468	Ki	22.91	CC1=CC=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC=C3	
7471	Ki	16.6	CC1=NC2=C(C(=NN2C=C1)SC)S(=O)(=O)C3=CC=CC=C3	
7473	Ki	1.175	CNC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC(=CC=C3)Cl	
7476	Ki	0.39809999999999995	CC1=CC(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=C(C=C3)F)C	
7478	Ki	9.799999999999999	COC1=CC=C(C=C1)S(=O)(=O)C2=C3C=C(C=CC3=NN2)NC4CCNCC4.Cl	
7481	Ki	12.0	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=C(C=CC4=NN3)CNCCN.Cl	
7484	Ki	9.799999999999999	C1CC(CNC1)C(=O)NC2=CC=CC3=C(NN=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl	
7487	Ki	0.6	C1CNCCC1NC2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC5=CC=CC=C5C=C4.Cl	
7490	Ki	2.8	C1CNCCC1NC2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl	
7493	Ki	1.5	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=C(C=CC4=NN3)NC(=O)CCN.Cl	
7496	Ki	24.0	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=CC(=CC4=NN3)NC(=O)CCN.Cl	
7499	Ki	6.7	C1CNCCC1NC2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC(=C4)F.Cl	
7502	Ki	1.0	CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=C3C=C(C=CC3=NN2)NC4CCNCC4.Cl	
7505	Ki	6.7	C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=C(C=CC4=NN3)NCCN.Cl	
7508	Ki	4.3	CC(C)[C@@H](CNC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43)N.Cl	
7511	Ki	1.7	C1CC(CNC1)NC2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl	
7514	Ki	1.0	C1CNCCC1NC2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC(=CC=C4)Cl.Cl	
